#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2024 12 07 19 16  1.9  1.5 12.5  1.2  9.9  NW  NW      SWELL  9.2 311
2024 12 07 18 46  2.0  1.6 11.8  1.2  9.9  NW  NW      SWELL  9.2 313
2024 12 07 18 16  1.8  1.3 11.8  1.2  9.9  NW  NW      SWELL  8.5 316
2024 12 07 17 46  1.8  1.3 12.5  1.2  7.1  NW   N      SWELL  8.6 313
2024 12 07 17 16  1.9  1.4 12.5  1.3  7.7  NW NNW      SWELL  8.5 306
2024 12 07 16 46  1.7  1.2 12.5  1.2  6.7  NW   N      SWELL  8.3 310
2024 12 07 16 16  1.8  1.3 11.8  1.3  7.7  NW   N      SWELL  8.5 318
2024 12 07 15 46  2.0  1.5 12.5  1.3  7.1  NW   N      SWELL  8.8 317
2024 12 07 15 16  1.9  1.2 12.5  1.5  7.1  NW   N    AVERAGE  8.2 317
2024 12 07 14 46  1.9  1.2 12.5  1.4  9.9  NW  NW    AVERAGE  8.3 309
2024 12 07 14 16  1.9  1.3 12.5  1.4  8.3  NW NNW    AVERAGE  8.3 320
2024 12 07 13 46  1.9  1.2 12.5  1.4  7.1  NW   N    AVERAGE  8.2 320
2024 12 07 13 16  2.0  1.5 12.5  1.4  8.3  NW NNW      SWELL  8.7 320
2024 12 07 12 46  1.9  1.1 13.3  1.5  7.7  NW   N    AVERAGE  8.1 316
2024 12 07 12 16  1.8  1.1 13.3  1.5  9.9  NW  NW    AVERAGE  8.2 316
2024 12 07 11 46  2.0  1.3 13.3  1.5  7.7  NW   N    AVERAGE  8.3 323
2024 12 07 11 16  2.0  1.3 12.5  1.5  9.9  NW  NW    AVERAGE  8.3 316
2024 12 07 10 46  2.0  1.4 13.3  1.5  8.3  NW NNW    AVERAGE  8.6 307
2024 12 07 10 16  1.9  1.2 13.3  1.5  9.1  NW NNW    AVERAGE  8.3 318
2024 12 07 09 46  2.0  1.3 13.3  1.5  9.1  NW  NW    AVERAGE  8.4 314
2024 12 07 09 16  2.3  1.6 13.3  1.8  9.1  NW NNW    AVERAGE  8.8 313
2024 12 07 08 46  2.3  1.6 13.3  1.7  9.1  NW NNW    AVERAGE  8.7 310
2024 12 07 08 16  2.3  1.6 12.5  1.7  9.1  NW  NW    AVERAGE  8.7 317
2024 12 07 07 46  2.2  1.6 12.5  1.6  9.1  NW  NW      SWELL  8.7 306
2024 12 07 07 16  2.2  1.4 14.3  1.7  9.9  NW  NW    AVERAGE  8.6 309
2024 12 07 06 46  2.4  1.8 13.3  1.6  8.3  NW  NW      SWELL  9.0 304
2024 12 07 06 16  2.2  1.5 13.3  1.7  9.9  NW  NW    AVERAGE  8.7 321
2024 12 07 05 46  2.3  1.5 14.3  1.7  9.1  NW  NW    AVERAGE  8.5 306
2024 12 07 05 16  2.3  1.5 10.5  1.8  9.1  NW  NW    AVERAGE  8.5 311
2024 12 07 04 46  2.5  1.7 14.3  1.9  9.1  NW NNW    AVERAGE  8.7 309
2024 12 07 04 16  2.4  1.8 12.5  1.7  9.1  NW  NW      SWELL  8.9 310
2024 12 07 03 46  2.5  1.9 12.5  1.7  9.9  NW  NW      SWELL  9.0 309
2024 12 07 03 16  2.5  1.8 12.5  1.8  9.9  NW NNW      SWELL  8.8 310
2024 12 07 02 46  2.6  2.0 12.5  1.7  9.1  NW  NW      SWELL  9.1 313
2024 12 07 02 16  2.6  1.8 12.5  1.9  9.9  NW  NW    AVERAGE  8.7 314
2024 12 07 01 46  2.7  2.0 12.5  1.9  9.9  NW  NW      SWELL  8.9 311
2024 12 07 01 16  2.6  2.0 11.8  1.8  9.1  NW NNW      SWELL  9.0 314
2024 12 07 00 46  2.7  1.9 12.5  1.9  9.9  NW NNW      SWELL  8.8 313
2024 12 07 00 16  2.7  2.0 11.8  1.9  9.9  NW  NW      SWELL  8.8 313
2024 12 06 23 46  2.9  2.1 11.8  2.0  9.9  NW  NW      SWELL  8.6 316
2024 12 06 23 16  2.8  1.9 12.5  2.0  9.9  NW  NW    AVERAGE  8.2 309
2024 12 06 22 46  3.0  2.0 12.5  2.3  9.9  NW  NW    AVERAGE  8.2 309
2024 12 06 22 16  3.2  2.4 12.5  2.2  9.9 WNW  NW      SWELL  8.6 302
2024 12 06 21 46  3.1  2.3 12.5  2.2  9.9  NW  NW      SWELL  8.4 311
2024 12 06 21 16  3.1  2.2 11.8  2.2  9.9  NW  NW      SWELL  8.4 309
2024 12 06 20 46  3.1  2.2 12.5  2.3  9.9  NW  NW    AVERAGE  8.2 311
2024 12 06 20 16  3.0  2.2 12.5  2.1  9.1  NW NNW      SWELL  8.0 311
2024 12 06 19 46  3.1  2.4 11.8  2.1  9.1  NW NNW      SWELL  8.6 313
2024 12 06 19 16  2.9  2.3 11.8  1.8  9.1  NW  NW      SWELL  8.6 320
2024 12 06 18 46  2.7  2.0 11.1  1.9  9.9  NW  NW      SWELL  8.3 318
2024 12 06 18 16  3.2  2.5 11.8  2.0  9.1  NW  NW      SWELL  8.9 317
2024 12 06 17 46  2.7  2.1 11.1  1.8  9.9  NW  NW      SWELL  8.7 313
2024 12 06 17 16  2.7  2.1 11.8  1.8  9.1  NW NNW      SWELL  8.7 323
2024 12 06 16 46  2.6  1.9 11.8  1.8  9.9  NW  NW      SWELL  8.7 311
2024 12 06 16 16  2.6  1.9 12.5  1.9  9.1  NW  NW      SWELL  8.7 324
2024 12 06 15 46  2.8  2.3 12.5  1.6  9.1  NW  NW      SWELL  9.5 316
2024 12 06 15 16  3.2  2.5 12.5  2.1  9.9  NW  NW      SWELL  9.6 324
2024 12 06 14 46  2.6  1.9 13.3  1.9  9.9  NW  NW      SWELL  8.9 309
2024 12 06 14 16  2.9  2.3 12.5  1.9  9.9  NW NNW      SWELL  9.3 314
2024 12 06 13 46  2.6  2.0 12.5  1.7  9.9  NW NNW      SWELL  9.3 325
2024 12 06 13 16  2.9  2.2 12.5  1.9  9.9 NNW NNW      SWELL  9.6 327
2024 12 06 12 46  2.9  2.1 12.5  2.0  9.9  NW NNW      SWELL  9.6 323
2024 12 06 12 16  3.1  2.4 12.5  2.1  9.9  NW NNW      SWELL  9.7 325
2024 12 06 11 46  2.9  2.3 12.5  1.9  9.9  NW NNW      SWELL  9.8 324
2024 12 06 11 16  2.9  2.2 12.5  2.0  9.9  NW NNW      SWELL  9.7 320
2024 12 06 10 46  2.7  1.9 13.3  2.1  9.9 NNW NNW    AVERAGE  9.3 331
2024 12 06 10 16  2.6  2.0 11.1  1.8  9.1  NW NNW      SWELL  9.1 325
2024 12 06 09 46  3.1  2.4 11.1  2.1  9.9  NW  NW    AVERAGE  9.5 318
2024 12 06 09 16  3.4  2.9 11.8  2.0  9.9  NW NNW      SWELL  9.9 318
2024 12 06 08 46  3.2  2.5 11.1  2.2  9.9  NW  NW    AVERAGE  9.4 323
2024 12 06 08 16  3.0  2.4 12.5  2.0  9.9  NW  NW      SWELL  9.2 313
2024 12 06 07 46  3.1  2.3 10.5  2.2  9.9  NW  NW    AVERAGE  8.9 320
2024 12 06 07 16  3.3  2.6 11.8  2.1  9.1  NW NNW      SWELL  9.3 313
2024 12 06 06 46  3.2  2.5 11.1  2.1  9.9  NW  NW    AVERAGE  9.2 324
2024 12 06 06 16  3.0  2.3 10.5  2.0  9.9 NNW  NW    AVERAGE  9.2 328
2024 12 06 05 46  3.0  2.4 11.8  1.8  9.1  NW  NW      SWELL  9.5 318
2024 12 06 05 16  2.7  2.1 12.5  1.8  9.9  NW  NW      SWELL  9.2 316
2024 12 06 04 46  2.3  1.8 13.3  1.6  9.9  NW  NW      SWELL  8.9 320
2024 12 06 04 16  2.0  1.6 13.3  1.3  9.1  NW  NW      SWELL  8.9 325
2024 12 06 03 46  1.9  1.5 14.3  1.2  9.9  NW  NW      SWELL  8.8 324
2024 12 06 03 16  2.0  1.7 13.3  1.1  9.9  NW  NW      SWELL  9.6 316
2024 12 06 02 46  2.1  1.8 12.5  1.1  9.9  NW  NW      SWELL  9.9 320
2024 12 06 02 16  1.9  1.6 13.3  1.1  9.9  NW  NW      SWELL  9.4 325
2024 12 06 01 46  1.9  1.6 12.5  1.1  9.9  NW  NW      SWELL  9.1 320
2024 12 06 01 16  2.0  1.7 12.5  1.0  9.1  NW NNW      SWELL  9.7 317
2024 12 06 00 46  1.8  1.6 12.5  1.0  9.9  NW  NW      SWELL  9.3 323
2024 12 06 00 16  1.9  1.7 11.8  1.0  9.9  NW  NW      SWELL  9.7 321
2024 12 05 23 46  1.7  1.4 13.3  0.9  9.9 NNW NNW      SWELL  9.2 331
2024 12 05 23 16  2.0  1.8 12.5  1.0  9.9  NW NNW      SWELL  9.7 324
2024 12 05 22 46  1.7  1.4 11.8  1.0  9.9  NW NNW      SWELL  9.1 324
2024 12 05 22 16  1.7  1.4 11.1  1.0  9.9  NW  NW      SWELL  8.9 325
2024 12 05 21 46  2.0  1.8 11.8  1.0  9.9 NNW NNW      SWELL  9.4 330
2024 12 05 20 46  1.9  1.6 11.8  1.0  9.9  NW NNW      SWELL 10.0 324
2024 12 05 20 16  1.9  1.7 11.8  0.9  9.1  NW NNW      SWELL 10.4 324
2024 12 05 19 46  1.7  1.4 13.3  1.0  9.9  NW NNW      SWELL  9.6 318
2024 12 05 19 16  1.8  1.5 12.5  1.1  9.9  NW  NW      SWELL  9.7 317
2024 12 05 18 46  2.0  1.7 11.8  1.1  9.9  NW  NW      SWELL  9.9 314
2024 12 05 18 16  1.8  1.6 11.8  0.9  9.9  NW  NW      SWELL  9.7 317
2024 12 05 17 46  1.9  1.6 11.8  1.0  9.9  NW  NW      SWELL  9.5 321
2024 12 05 17 16  2.0  1.8 13.3  1.0  9.9 NNW NNW      SWELL 10.2 327
2024 12 05 16 46  1.8  1.5 11.1  0.9  9.1  NW  NW      SWELL  9.8 311
2024 12 05 16 16  1.9  1.6 13.3  1.1  9.9  NW  NW      SWELL 10.1 323
2024 12 05 15 46  1.9  1.6 11.1  1.1  9.9  NW  NW      SWELL  9.8 320
2024 12 05 15 16  1.8  1.6 13.3  0.9  9.9  NW  NW      SWELL 10.2 323
2024 12 05 14 46  1.8  1.6 11.1  1.0  9.9  NW NNW      SWELL 10.2 325
2024 12 05 14 16  1.7  1.5 11.8  1.0  9.9 NNW  NW      SWELL 10.0 328
2024 12 05 13 46  1.8  1.6 11.1  0.9  9.9 NNW NNW      SWELL 10.3 331
2024 12 05 13 16  1.8  1.5 13.3  1.0  9.9  NW NNW      SWELL 10.3 325
2024 12 05 12 46  1.9  1.7 13.3  0.9  9.9 NNW NNW      SWELL 10.8 327
2024 12 05 12 16  1.8  1.6 11.8  0.9  9.1 NNW NNW      SWELL 10.6 328
2024 12 05 11 46  1.8  1.6 12.5  0.9  9.9 NNW NNW      SWELL 10.4 330
2024 12 05 11 16  1.9  1.6 12.5  1.0  9.9  NW  NW      SWELL 10.4 323
2024 12 05 10 46  1.7  1.5 12.5  0.9  9.9  NW  NW      SWELL 10.3 316
2024 12 05 10 16  2.0  1.8 12.5  1.0  9.9  NW NNW      SWELL 10.8 317
2024 12 05 09 46  2.0  1.7 11.8  1.1  9.9  NW NNW      SWELL 10.3 316
2024 12 05 09 16  2.1  1.8 11.8  1.1  9.9  NW  NW      SWELL 10.6 320
2024 12 05 08 46  1.9  1.7 11.8  1.0  9.9 NNW  NW      SWELL 10.4 328
2024 12 05 08 16  1.9  1.6 12.5  1.1  9.9  NW NNW      SWELL 10.2 314
2024 12 05 07 46  2.0  1.7 12.5  1.1  9.9  NW NNW      SWELL 10.5 323
2024 12 05 07 16  1.9  1.5 13.3  1.2  9.9  NW  NW      SWELL 10.0 321
2024 12 05 06 46  2.1  1.8 12.5  1.1  9.9  NW  NW      SWELL 10.4 317
2024 12 05 06 16  1.9  1.7 12.5  1.0  8.3  NW  NW      SWELL 10.4 314
2024 12 05 05 46  2.2  1.9 12.5  1.2  9.9  NW  NW      SWELL 10.5 317
2024 12 05 05 16  2.1  1.8 12.5  1.1  9.9  NW  NW      SWELL 10.3 314
2024 12 05 04 46  2.1  1.7 12.5  1.3  9.9 WNW  NW      SWELL  9.9 302
2024 12 05 04 16  2.1  1.9 13.3  1.1  9.9  NW  NW      SWELL 10.1 309
2024 12 05 03 46  2.0  1.7 12.5  1.0  9.1  NW  NW      SWELL 10.2 320
2024 12 05 03 16  2.0  1.7 11.8  1.1  9.9  NW  NW      SWELL 10.1 316
2024 12 05 02 46  2.0  1.8 12.5  1.1  9.1  NW  NW      SWELL 10.3 323
2024 12 05 02 16  2.1  1.9 11.8  1.0  9.9  NW  NW      SWELL 10.5 316
2024 12 05 01 46  2.3  2.0 12.5  1.1  9.9  NW  NW      SWELL 10.7 317
2024 12 05 01 16  2.1  1.7 13.3  1.2  9.9  NW  NW      SWELL 10.4 323
2024 12 05 00 46  2.1  1.8 12.5  1.1  9.1  NW  NW      SWELL 10.4 316
2024 12 05 00 16  2.0  1.7 11.8  1.1  9.9  NW  NW      SWELL 10.0 321
2024 12 04 23 46  2.0  1.7 13.3  1.1  9.9  NW  NW      SWELL 10.1 325
2024 12 04 23 16  1.9  1.6 11.8  1.1  9.1  NW  NW      SWELL 10.2 318
2024 12 04 22 46  2.4  2.1 12.5  1.1  9.9 NNW  NW      SWELL 10.8 330
2024 12 04 22 16  2.2  1.9 11.1  1.2  9.9  NW  NW      SWELL 10.3 324
2024 12 04 21 46  1.9  1.6 13.3  1.1  9.1 NNW  NW      SWELL 10.3 330
2024 12 04 21 16  2.2  1.9 12.5  1.1  9.9  NW  NW      SWELL 10.5 324
2024 12 04 20 46  2.3  2.0 12.5  1.2  9.9  NW  NW      SWELL 10.6 325
2024 12 04 20 16  2.1  1.8 12.5  1.1  9.9  NW  NW      SWELL 10.4 325
2024 12 04 19 46  2.4  2.1 12.5  1.2  9.9  NW  NW      SWELL 10.8 323
2024 12 04 19 16  2.2  1.9 12.5  1.3  9.9  NW  NW      SWELL 10.3 320
2024 12 04 18 46  2.4  2.1 12.5  1.2  9.9  NW NNW      SWELL 10.4 323
2024 12 04 18 16  2.2  1.8 13.3  1.2  9.9  NW  NW      SWELL 10.4 325
2024 12 04 17 46  2.3  2.0 12.5  1.2  9.9 NNW  NW      SWELL 10.6 327
